United States,Apr 28 2020,23489,29554,0
United States,Apr 29 2020,27212,28951,0
United States,Apr 30 2020,32420,28868,0
United States,May  1 2020,30228,28311,0
United States,May  2 2020,28398,27599,0
United States,May  3 2020,27834,27685,0
United States,May  4 2020,21175,27250,0
United States,May  5 2020,23210,27211,0
United States,May  6 2020,24301,26795,0
United States,May  7 2020,30617,26537,0
United States,May  8 2020,28044,26225,0
United States,May  9 2020,25977,25879,0
United States,May 10 2020,21656,24997,0
United States,May 11 2020,19294,24728,0
United States,May 12 2020,24260,24878,0
United States,May 13 2020,17739,23941,0
United States,May 14 2020,34531,24500,0
United States,May 15 2020,27111,24366,0
United States,May 16 2020,25303,24270,0
United States,May 17 2020,19222,23922,0
United States,May 18 2020,24692,24694,0
United States,May 19 2020,20693,24184,0
United States,May 20 2020,24488,25148,0
United States,May 21 2020,25523,23861,0
United States,May 22 2020,26027,23706,0
United States,May 23 2020,20979,23089,0
United States,May 24 2020,21765,23452,0
United States,May 25 2020,19148,22660,0
United States,May 26 2020,16956,22126,0
United States,May 27 2020,20364,21537,0
United States,May 28 2020,24198,21348,0
United States,May 29 2020,23553,20994,0
United States,May 30 2020,23710,21384,0
United States,May 31 2020,21206,21305,0
United States,Jun  1 2020,17358,21049,0
United States,Jun  2 2020,20729,21588,0
United States,Jun  3 2020,21111,21695,0
United States,Jun  4 2020,20711,21196,0
United States,Jun  5 2020,24424,21321,0
United States,Jun  6 2020,23570,21301,0
United States,Jun  7 2020,17779,20811,0
United States,Jun  8 2020,18038,20908,0
United States,Jun  9 2020,18595,20604,0
United States,Jun 10 2020,22482,20799,0
United States,Jun 11 2020,22688,21082,0
United States,Jun 12 2020,28744,21699,0
United States,Jun 13 2020,26005,22047,0
United States,Jun 14 2020,20617,22452,0
United States,Jun 15 2020,20586,22816,0
United States,Jun 16 2020,24928,23721,0
United States,Jun 17 2020,25603,24167,0
United States,Jun 18 2020,28756,25034,0
United States,Jun 19 2020,33305,25685,0
United States,Jun 20 2020,33336,26733,0
United States,Jun 21 2020,27323,27691,0
United States,Jun 22 2020,28694,28849,0
United States,Jun 23 2020,37917,30704,0
United States,Jun 24 2020,37427,32394,0
United States,Jun 25 2020,47003,35000,0
United States,Jun 26 2020,46542,36891,0
United States,Jun 27 2020,43596,38357,0
United States,Jun 28 2020,37788,39852,0
United States,Jun 29 2020,38588,41265,0
United States,Jun 30 2020,46576,42502,0
United States,Jul  1 2020,59718,45687,0
United States,Jul  2 2020,55580,46912,0
United States,Jul  3 2020,60259,48872,0
United States,Jul  4 2020,49577,49726,0
United States,Jul  5 2020,40404,50100,0
United States,Jul  6 2020,51199,51901,0
United States,Jul  7 2020,56041,53254,0
United States,Jul  8 2020,65368,54061,0
United States,Jul  9 2020,62293,55020,0
United States,Jul 10 2020,68561,56206,0
United States,Jul 11 2020,68103,58852,0
United States,Jul 12 2020,59627,61598,0
United States,Jul 13 2020,56523,62359,0
United States,Jul 14 2020,64999,63639,0
United States,Jul 15 2020,72302,64629,0
United States,Jul 16 2020,70172,65755,0
United States,Jul 17 2020,77078,66972,0
United States,Jul 18 2020,67794,66927,0
United States,Jul 19 2020,59906,66967,0
United States,Jul 20 2020,59004,67322,0
United States,Jul 21 2020,63320,67082,0
United States,Jul 22 2020,72652,67132,0
United States,Jul 23 2020,74050,67686,0
United States,Jul 24 2020,73906,67233,0
United States,Jul 25 2020,61078,66273,0
United States,Jul 26 2020,58999,66144,0
United States,Jul 27 2020,53256,65323,0
United States,Jul 28 2020,59186,64732,0
United States,Jul 29 2020,65128,63657,0
United States,Jul 30 2020,67144,62671,0
United States,Jul 31 2020,68814,61943,0
United States,Aug  1 2020,56412,61277,0
United States,Aug  2 2020,51457,60199,0
United States,Aug  3 2020,45304,59063,0
United States,Aug  4 2020,51916,58025,0
United States,Aug  5 2020,56249,56756,0
United States,Aug  6 2020,55156,55044,0
United States,Aug  7 2020,62137,54090,0
United States,Aug  8 2020,52081,53471,0
United States,Aug  9 2020,46359,52743,0
United States,Aug 10 2020,44146,52577,0
United States,Aug 11 2020,59184,53616,0
United States,Aug 12 2020,55542,53515,0
United States,Aug 13 2020,52151,53085,0
United States,Aug 14 2020,56235,52242,0
United States,Aug 15 2020,51565,52168,0
United States,Aug 16 2020,41911,51533,0
United States,Aug 17 2020,41818,51200,0
United States,Aug 18 2020,41717,48705,0
United States,Aug 19 2020,47290,47526,0
United States,Aug 20 2020,47070,46800,0
United States,Aug 21 2020,47705,45582,0
United States,Aug 22 2020,41839,44192,0
United States,Aug 23 2020,37081,43502,0
United States,Aug 24 2020,36026,42675,0
United States,Aug 25 2020,40932,42563,0
United States,Aug 26 2020,47495,42592,0
United States,Aug 27 2020,47228,42615,0
United States,Aug 28 2020,46942,42506,0
United States,Aug 29 2020,41018,42388,0
United States,Aug 30 2020,36633,42324,0
United States,Aug 31 2020,39560,42829,0
United States,Sep  1 2020,38841,42531,0
United States,Sep  2 2020,42794,41859,1705
United States,Sep  3 2020,45570,41622,0
United States,Sep  4 2020,51294,42244,0
United States,Sep  5 2020,41306,42285,0
United States,Sep  6 2020,33989,41907,0
United States,Sep  7 2020,24589,39769,0
United States,Sep  8 2020,28620,38308,0
United States,Sep  9 2020,35566,37276,0
United States,Sep 10 2020,39101,36352,0
United States,Sep 11 2020,44596,35395,0
United States,Sep 12 2020,40036,35213,0
United States,Sep 13 2020,32893,35057,0
United States,Sep 14 2020,34762,36510,0
United States,Sep 15 2020,37229,37740,0
United States,Sep 16 2020,44925,39077,0
United States,Sep 17 2020,45393,39976,0
United States,Sep 18 2020,48189,40489,0
United States,Sep 19 2020,42374,40823,0
United States,Sep 20 2020,34275,41021,0
United States,Sep 21 2020,41634,42002,0
United States,Sep 22 2020,50107,43842,0
United States,Sep 23 2020,42951,43560,0
United States,Sep 24 2020,46409,43705,0
United States,Sep 25 2020,50220,43995,0
United States,Sep 26 2020,42765,44051,0
United States,Sep 27 2020,35379,44209,0
United States,Sep 28 2020,39164,43856,0
United States,Sep 29 2020,38941,42261,0
United States,Sep 30 2020,46570,42778,0
United States,Oct  1 2020,47488,42932,0
United States,Oct  2 2020,51158,43066,0
United States,Oct  3 2020,47741,43777,0
United States,Oct  4 2020,35651,43816,0
United States,Oct  5 2020,41604,44164,0
United States,Oct  6 2020,41988,44600,0
United States,Oct  7 2020,54791,45774,0
United States,Oct  8 2020,55663,46942,0
United States,Oct  9 2020,59096,48076,0
United States,Oct 10 2020,53917,48958,0
United States,Oct 11 2020,44948,50286,0
United States,Oct 12 2020,49773,51453,0
United States,Oct 13 2020,50813,52714,0
United States,Oct 14 2020,58203,53201,0
United States,Oct 15 2020,63399,54307,0
United States,Oct 16 2020,69579,55804,0
United States,Oct 17 2020,54320,55862,0
United States,Oct 18 2020,48992,56439,0
United States,Oct 19 2020,62183,58212,0
United States,Oct 20 2020,58978,59379,0
United States,Oct 21 2020,70567,61145,0
United States,Oct 22 2020,75036,62807,0
United States,Oct 23 2020,83173,64749,0
United States,Oct 24 2020,76388,67902,0
United States,Oct 25 2020,65933,70322,0
United States,Oct 26 2020,70175,71464,0
United States,Oct 27 2020,75826,73871,0
United States,Oct 28 2020,85428,75994,0
United States,Oct 29 2020,91712,78376,0
United States,Oct 30 2020,98046,80501,0
United States,Oct 31 2020,93274,82913,0
United States,Nov  1 2020,74374,84119,67475
United States,Nov  2 2020,87200,86551,0
United States,Nov  3 2020,99106,89877,0
United States,Nov  4 2020,115985,94242,0
United States,Nov  5 2020,123779,98823,0
United States,Nov  6 2020,134554,104038,0
United States,Nov  7 2020,129241,109177,0
United States,Nov  8 2020,112060,114560,0
United States,Nov  9 2020,125084,119972,0
United States,Nov 10 2020,148099,126971,0
United States,Nov 11 2020,154106,132417,0
United States,Nov 12 2020,163909,138150,0
United States,Nov 13 2020,178528,144432,0
United States,Nov 14 2020,163800,149369,0
United States,Nov 15 2020,140056,153368,0
United States,Nov 16 2020,152486,157283,0
United States,Nov 17 2020,167995,160125,0
United States,Nov 18 2020,172825,162799,0
United States,Nov 19 2020,190293,166569,0
United States,Nov 20 2020,195145,168942,0
United States,Nov 21 2020,173464,170323,0
United States,Nov 22 2020,150922,171875,0
United States,Nov 23 2020,160726,173052,0
United States,Nov 24 2020,175929,174186,0
United States,Nov 25 2020,195535,177430,0
United States,Nov 26 2020,145025,170963,0
United States,Nov 27 2020,164392,166570,0
United States,Nov 28 2020,144719,162464,0
United States,Nov 29 2020,141316,161091,0
United States,Nov 30 2020,153896,160116,0
United States,Dec  1 2020,192543,162489,0
United States,Dec  2 2020,211410,164757,0
United States,Dec  3 2020,218915,175313,0
United States,Dec  4 2020,225463,184037,0
United States,Dec  5 2020,205773,192759,0
United States,Dec  6 2020,177331,197904,0
United States,Dec  7 2020,186550,202569,0
United States,Dec  8 2020,226565,207429,0
United States,Dec  9 2020,222546,209020,0
United States,Dec 10 2020,208882,207587,0
United States,Dec 11 2020,248764,210915,0
United States,Dec 12 2020,216122,212394,0
United States,Dec 13 2020,180746,212882,0
United States,Dec 14 2020,197607,214461,0
United States,Dec 15 2020,200906,210796,0
United States,Dec 16 2020,241944,213567,0
United States,Dec 17 2020,248020,219158,0
United States,Dec 18 2020,237464,217544,0
United States,Dec 19 2020,201794,215497,0
United States,Dec 20 2020,188039,216539,0
United States,Dec 21 2020,183981,214592,0
United States,Dec 22 2020,199671,214416,0
United States,Dec 23 2020,228471,212491,0
United States,Dec 24 2020,202348,205966,0
United States,Dec 25 2020,159273,194796,0
United States,Dec 26 2020,149197,187282,0
United States,Dec 27 2020,154985,182560,0
United States,Dec 28 2020,178995,181848,0
United States,Dec 29 2020,210256,183360,0
United States,Dec 30 2020,238889,184849,0
United States,Dec 31 2020,231066,188951,0
United States,Jan  1 2021,229363,198964,0
United States,Jan  2 2021,224296,209692,0
United States,Jan  3 2021,205422,216898,0
United States,Jan  4 2021,174851,216306,0
United States,Jan  5 2021,245058,221277,0
United States,Jan  6 2021,259756,224258,0
United States,Jan  7 2021,271062,229972,0
United States,Jan  8 2021,294008,239207,0
United States,Jan  9 2021,255168,243617,0
United States,Jan 10 2021,223510,246201,0
United States,Jan 11 2021,204456,250431,0
United States,Jan 12 2021,218667,246661,0
United States,Jan 13 2021,229424,242327,0
United States,Jan 14 2021,224281,235644,0
United States,Jan 15 2021,239967,227924,0
United States,Jan 16 2021,212812,221873,0
United States,Jan 17 2021,182564,216024,0
United States,Jan 18 2021,151193,208415,0
United States,Jan 19 2021,150917,198736,584
United States,Jan 20 2021,189262,192999,0
United States,Jan 21 2021,189661,188053,0
United States,Jan 22 2021,190489,180985,0
United States,Jan 23 2021,164589,174096,0
United States,Jan 24 2021,143549,168522,0
United States,Jan 25 2021,133857,166046,0
United States,Jan 26 2021,147890,165613,0
United States,Jan 27 2021,160015,161435,0
United States,Jan 28 2021,156839,156746,0
United States,Jan 29 2021,164178,152988,0
United States,Jan 30 2021,137373,149100,0
United States,Jan 31 2021,111474,144518,0
United States,Feb  1 2021,128452,143745,0
United States,Feb  2 2021,122554,140126,0
United States,Feb  3 2021,110274,133020,0
United States,Feb  4 2021,125150,128493,0
United States,Feb  5 2021,125532,122972,0
United States,Feb  6 2021,108093,118789,0
United States,Feb  7 2021,91481,115933,0
United States,Feb  8 2021,82252,109333,0
United States,Feb  9 2021,91966,104964,0
United States,Feb 10 2021,99464,103419,0
United States,Feb 11 2021,99232,99717,0
United States,Feb 12 2021,97935,95774,0
United States,Feb 13 2021,84466,92399,0
United States,Feb 14 2021,66667,88854,0
United States,Feb 15 2021,57695,85346,0
United States,Feb 16 2021,57849,80472,0
United States,Feb 17 2021,64574,75488,0
United States,Feb 18 2021,68754,71134,0
United States,Feb 19 2021,73201,67600,0
United States,Feb 20 2021,66029,64967,0
United States,Feb 21 2021,55772,63410,0
United States,Feb 22 2021,56237,63202,0
United States,Feb 23 2021,71031,65085,0
United States,Feb 24 2021,72974,66285,0
United States,Feb 25 2021,72003,66749,0
United States,Feb 26 2021,73626,66810,0
United States,Feb 27 2021,67908,67078,0
United States,Feb 28 2021,51629,66486,0
United States,Mar  1 2021,50968,65734,0
United States,Mar  2 2021,55218,63475,0
United States,Mar  3 2021,65770,62446,0
United States,Mar  4 2021,65742,61551,0
United States,Mar  5 2021,64233,60209,0
United States,Mar  6 2021,57322,58697,0
United States,Mar  7 2021,43517,57538,0
United States,Mar  8 2021,42987,56398,0
United States,Mar  9 2021,53497,56152,891
United States,Mar 10 2021,62218,55645,0
United States,Mar 11 2021,60537,54901,0
United States,Mar 12 2021,62858,54705,0
United States,Mar 13 2021,53398,54144,0
United States,Mar 14 2021,47246,54677,0
United States,Mar 15 2021,43456,54744,0
United States,Mar 16 2021,52063,54539,0
United States,Mar 17 2021,62392,54564,0
United States,Mar 18 2021,62866,54897,0
United States,Mar 19 2021,62281,54814,0
United States,Mar 20 2021,58367,55524,0
United States,Mar 21 2021,44955,55197,0
United States,Mar 22 2021,48561,55926,0
United States,Mar 23 2021,58490,56844,0
United States,Mar 24 2021,67150,57524,0
United States,Mar 25 2021,66385,58027,0
United States,Mar 26 2021,76683,60084,0
United States,Mar 27 2021,63354,60796,0
United States,Mar 28 2021,52894,61931,0
United States,Mar 29 2021,57811,63252,0
United States,Mar 30 2021,62354,63804,0
United States,Mar 31 2021,71474,64422,0
United States,Apr  1 2021,74441,65573,0
United States,Apr  2 2021,69528,64550,0
United States,Apr  3 2021,65488,64855,0
United States,Apr  4 2021,44294,63627,0
United States,Apr  5 2021,56910,63498,0
United States,Apr  6 2021,63269,63629,0
United States,Apr  7 2021,77911,64548,0
United States,Apr  8 2021,75694,64727,0
United States,Apr  9 2021,78861,66061,72
United States,Apr 10 2021,68053,66427,0
United States,Apr 11 2021,53490,67741,0
United States,Apr 12 2021,62635,68559,0
United States,Apr 13 2021,72171,69830,0
United States,Apr 14 2021,72353,69036,0
United States,Apr 15 2021,74987,68935,0
United States,Apr 16 2021,70886,67796,0
United States,Apr 17 2021,78009,69218,0
United States,Apr 18 2021,49210,68607,0
United States,Apr 19 2021,35963,64797,0
United States,Apr 20 2021,58891,62899,0
United States,Apr 21 2021,64178,61732,0
United States,Apr 22 2021,61690,59832,0
United States,Apr 23 2021,64602,58934,0
United States,Apr 24 2021,51919,55207,0
United States,Apr 25 2021,40716,53994,0
United States,Apr 26 2021,39864,54551,-9005
United States,Apr 27 2021,50937,53415,0
United States,Apr 28 2021,55288,52145,0
United States,Apr 29 2021,56715,51434,0
United States,Apr 30 2021,55300,50105,0
United States,May  1 2021,47983,49543,0
United States,May  2 2021,36691,48968,0
United States,May  3 2021,33230,48020,0
United States,May  4 2021,43137,46906,0
United States,May  5 2021,45281,45476,0
United States,May  6 2021,43402,43574,0
United States,May  7 2021,44604,42046,0
United States,May  8 2021,36847,40456,0
United States,May  9 2021,27197,39099,0
United States,May 10 2021,24738,37886,0
United States,May 11 2021,33597,36523,0
United States,May 12 2021,35902,35183,0
United States,May 13 2021,40997,34840,0
United States,May 14 2021,35428,33529,0
United States,May 15 2021,29749,32515,42
United States,May 16 2021,20960,31624,0
United States,May 17 2021,19497,30875,0
United States,May 18 2021,28042,30082,0
United States,May 19 2021,27887,28937,0
United States,May 20 2021,27954,27073,0
United States,May 21 2021,28256,26049,0
United States,May 22 2021,22217,24973,0
United States,May 23 2021,15717,24224,0
United States,May 24 2021,16104,23739,0
United States,May 25 2021,23791,23132,0
United States,May 26 2021,23719,22536,0
United States,May 27 2021,22555,21765,0
United States,May 28 2021,24384,21212,0
United States,May 29 2021,16155,20346,0
United States,May 30 2021,11999,19815,0
United States,May 31 2021,8984,18798,1
United States,Jun  1 2021,8918,16673,0
United States,Jun  2 2021,16242,15605,0
United States,Jun  3 2021,18658,15048,0
United States,Jun  4 2021,18599,14222,0
United States,Jun  5 2021,14791,14027,0
United States,Jun  6 2021,10980,13881,0
United States,Jun  7 2021,9960,14021,0
United States,Jun  8 2021,14580,14830,0
United States,Jun  9 2021,19099,15238,464
United States,Jun 10 2021,16061,14867,1
United States,Jun 11 2021,14014,14212,0
United States,Jun 12 2021,12468,13880,0
United States,Jun 13 2021,8590,13538,0
United States,Jun 14 2021,8283,13299,0
United States,Jun 15 2021,12844,13051,0
United States,Jun 16 2021,13210,12210,0
United States,Jun 17 2021,13276,11812,0
United States,Jun 18 2021,12025,11528,0
United States,Jun 19 2021,12398,11518,0
United States,Jun 20 2021,8932,11566,0
United States,Jun 21 2021,8653,11619,0
United States,Jun 22 2021,13476,11710,0
United States,Jun 23 2021,13861,11803,0
United States,Jun 24 2021,15538,12126,0
United States,Jun 25 2021,15093,12564,0
United States,Jun 26 2021,13178,12675,0
United States,Jun 27 2021,10500,12899,0
United States,Jun 28 2021,10658,13186,0
United States,Jun 29 2021,15735,13509,0
United States,Jun 30 2021,11609,13187,0
United States,Jul  1 2021,18701,13639,0
United States,Jul  2 2021,16842,13889,0
United States,Jul  3 2021,13038,13869,0
United States,Jul  4 2021,10375,13851,4
United States,Jul  5 2021,9214,13644,0
United States,Jul  6 2021,20192,14281,0
United States,Jul  7 2021,22797,15879,0
United States,Jul  8 2021,28106,17223,155785
United States,Jul  9 2021,27620,18763,0
United States,Jul 10 2021,20532,19833,0
United States,Jul 11 2021,16760,20745,0
United States,Jul 12 2021,29343,23621,0
United States,Jul 13 2021,34862,25717,0
United States,Jul 14 2021,38470,27956,106
United States,Jul 15 2021,40552,29734,112
United States,Jul 16 2021,42364,31840,42
United States,Jul 17 2021,31507,33408,71
United States,Jul 18 2021,28384,35068,45
United States,Jul 19 2021,45477,37373,266
United States,Jul 20 2021,50995,39678,136
United States,Jul 21 2021,61565,42977,184
United States,Jul 22 2021,72852,47592,283
United States,Jul 23 2021,68475,51322,345
United States,Jul 24 2021,53311,54437,122
United States,Jul 25 2021,43266,56563,28
United States,Jul 26 2021,71542,60286,36
United States,Jul 27 2021,86053,65294,142
United States,Jul 28 2021,89525,69289,120
United States,Jul 29 2021,99312,73069,229
United States,Jul 30 2021,104985,78284,334
United States,Jul 31 2021,81514,82313,164
United States,Aug  1 2021,62993,85132,44
United States,Aug  2 2021,103604,89712,25
United States,Aug  3 2021,110584,93216,322
United States,Aug  4 2021,124130,98160,333
United States,Aug  5 2021,129022,102404,234
United States,Aug  6 2021,125941,105398,7773
United States,Aug  7 2021,119985,110894,99
United States,Aug  8 2021,97088,115764,42
United States,Aug  9 2021,93963,114387,82
United States,Aug 10 2021,136574,118100,183
United States,Aug 11 2021,144523,121013,270
United States,Aug 12 2021,151589,124237,266
United States,Aug 13 2021,146571,127184,97
United States,Aug 14 2021,139135,129920,167
United States,Aug 15 2021,110653,131858,74
United States,Aug 16 2021,110263,134186,130
United States,Aug 17 2021,150734,136209,250
United States,Aug 18 2021,168146,139584,1040
United States,Aug 19 2021,174982,142926,204
United States,Aug 20 2021,166923,145833,1934
United States,Aug 21 2021,142860,146365,376
United States,Aug 22 2021,127033,148705,70
United States,Aug 23 2021,117356,149719,69
United States,Aug 24 2021,163674,151567,367
United States,Aug 25 2021,177755,152940,257
United States,Aug 26 2021,187042,154663,253
United States,Aug 27 2021,182772,156927,201
United States,Aug 28 2021,151255,158126,361
United States,Aug 29 2021,118228,156868,179
United States,Aug 30 2021,134599,159332,83
United States,Aug 31 2021,176933,161226,504
United States,Sep  1 2021,198858,164241,323
United States,Sep  2 2021,182386,163575,401
United States,Sep  3 2021,182963,163603,388
United States,Sep  4 2021,142167,162304,417
United States,Sep  5 2021,124587,163213,277
United States,Sep  6 2021,110237,159733,404
United States,Sep  7 2021,118445,151377,90
United States,Sep  8 2021,170111,147270,1347
United States,Sep  9 2021,186758,147895,404
United States,Sep 10 2021,169412,145959,349
United States,Sep 11 2021,153256,147543,527
United States,Sep 12 2021,116271,146355,79
United States,Sep 13 2021,113645,146842,164
United States,Sep 14 2021,162266,153102,660
United States,Sep 15 2021,163126,152104,916
United States,Sep 16 2021,167646,149374,540
United States,Sep 17 2021,157273,147640,531
United States,Sep 18 2021,123156,143340,575
United States,Sep 19 2021,97129,140605,87
United States,Sep 20 2021,93595,137741,33
United States,Sep 21 2021,134927,133836,624
United States,Sep 22 2021,132379,129443,445
United States,Sep 23 2021,135709,124881,1466
United States,Sep 24 2021,133093,121426,781
United States,Sep 25 2021,95705,117505,646
United States,Sep 26 2021,77095,114643,239
United States,Sep 27 2021,103465,116053,613
United States,Sep 28 2021,116983,113489,1069
United States,Sep 29 2021,116407,111208,1354
United States,Sep 30 2021,122573,109331,1427
United States,Oct  1 2021,120132,107480,1428
United States,Oct  2 2021,81425,105440,493
United States,Oct  3 2021,68364,104192,207
United States,Oct  4 2021,87572,101922,29
United States,Oct  5 2021,104920,100199,238
United States,Oct  6 2021,107770,98965,10536
United States,Oct  7 2021,112109,97470,793
United States,Oct  8 2021,107809,95709,544
United States,Oct  9 2021,70029,94081,648
United States,Oct 10 2021,59509,92816,161
United States,Oct 11 2021,75212,91051,84
United States,Oct 12 2021,91161,89085,649
United States,Oct 13 2021,97045,87553,732
United States,Oct 14 2021,96684,85349,498
United States,Oct 15 2021,90960,82942,806
United States,Oct 16 2021,62277,81835,825
United States,Oct 17 2021,49279,80374,76
United States,Oct 18 2021,70540,79706,23
United States,Oct 19 2021,81053,78262,520
United States,Oct 20 2021,76416,75315,532
United States,Oct 21 2021,87321,73978,377
United States,Oct 22 2021,81190,72582,316
United States,Oct 23 2021,30247,68006,451
United States,Oct 24 2021,23869,64376,94
United States,Oct 25 2021,93907,67714,47
United States,Oct 26 2021,102455,70772,262
United States,Oct 27 2021,83926,71845,457
United States,Oct 28 2021,81964,71079,21885
United States,Oct 29 2021,87285,71950,137
United States,Oct 30 2021,28925,71761,569
United States,Oct 31 2021,20830,71327,64
United States,Nov  1 2021,119604,74998,7959
United States,Nov  2 2021,73133,70809,685
United States,Nov  3 2021,79988,70247,108
United States,Nov  4 2021,88611,71196,219
United States,Nov  5 2021,89088,71454,186
United States,Nov  6 2021,28755,71429,528
United States,Nov  7 2021,26371,72221,66
United States,Nov  8 2021,127450,73342,49
United States,Nov  9 2021,83310,74796,177
United States,Nov 10 2021,90679,76323,1792
United States,Nov 11 2021,71484,73876,590
United States,Nov 12 2021,123205,78750,145
United States,Nov 13 2021,47943,81491,15371
United States,Nov 14 2021,28948,81859,61
United States,Nov 15 2021,142895,84066,9
United States,Nov 16 2021,97012,86023,59
United States,Nov 17 2021,106314,88257,55
United States,Nov 18 2021,113524,94263,10684
United States,Nov 19 2021,113730,92909,100
United States,Nov 20 2021,39461,91697,81
United States,Nov 21 2021,34543,92497,490
United States,Nov 22 2021,154359,94134,50
United States,Nov 23 2021,100975,94700,126
United States,Nov 24 2021,105600,94598,245
United States,Nov 25 2021,70838,88500,76
United States,Nov 26 2021,81337,83873,19
United States,Nov 27 2021,49547,85314,51
United States,Nov 28 2021,53733,88055,92
United States,Nov 29 2021,99427,80208,171
United States,Nov 30 2021,120533,83002,165
United States,Dec  1 2021,133352,86966,0
United States,Dec  2 2021,143362,97327,0
United States,Dec  3 2021,151170,107303,0
United States,Dec  4 2021,61257,108976,0
United States,Dec  5 2021,52045,108735,0
United States,Dec  6 2021,191313,121861,0
United States,Dec  7 2021,126263,122680,0
United States,Dec  8 2021,130374,122254,0
United States,Dec  9 2021,138469,121555,0
United States,Dec 10 2021,133559,119040,0
United States,Dec 11 2021,60027,118864,0
United States,Dec 12 2021,55055,119294,0
United States,Dec 13 2021,193028,119539,0
United States,Dec 14 2021,125144,119379,1725
United States,Dec 15 2021,146613,121699,840
United States,Dec 16 2021,160471,124842,1347
United States,Dec 17 2021,161068,128772,0
United States,Dec 18 2021,83038,132059,0
United States,Dec 19 2021,99505,138409,0
United States,Dec 20 2021,278775,150659,0
United States,Dec 21 2021,207268,162391,0
United States,Dec 22 2021,245403,176504,0
United States,Dec 23 2021,281570,193803,621
United States,Dec 24 2021,232604,204023,0
United States,Dec 25 2021,114575,208528,0
United States,Dec 26 2021,206930,223875,0
United States,Dec 27 2021,490838,254169,0
United States,Dec 28 2021,400822,281820,0
United States,Dec 29 2021,484410,315964,0
United States,Dec 30 2021,593670,360549,0
United States,Dec 31 2021,453584,392118,0
United States,Jan  1 2022,273844,414871,0
